Model,Precision,Recall,F1,IoU,Train Time (s),Infer Time (ms/img)
Random Forest,0.9282 ± 0.0756,0.9290 ± 0.0692,0.9254 ± 0.0522,0.8655 ± 0.0898,32.82,203.57 ± 26.07
XGBoost,0.9220 ± 0.0807,0.9371 ± 0.0628,0.9264 ± 0.0534,0.8674 ± 0.0913,4.42,37.74 ± 3.79
